City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,nuuk,64.1835,-51.7216,273.49,51,75,3.6,GL,1699417622
107,el parral,16.3675,-93.0058,293.86,98,66,0.99,MX,1699417623
108,lebu,-37.6167,-73.65,282.73,89,10,3.79,CL,1699417623
109,jamestown,42.097,-79.2353,278.16,83,100,3.6,US,1699417397
110,mizusawa,39.1333,141.1333,288.33,58,61,4.15,JP,1699417624
111,qujing,25.4833,103.7833,291.36,64,100,7.37,CN,1699417625
112,genhe,50.7833,121.5167,265.33,56,100,2.91,CN,1699417625
113,puerto ayora,-0.7393,-90.3518,297.9,86,29,3.58,EC,1699417626
114,afaahiti,-17.75,-149.2833,299.08,83,100,10.12,PF,1699417626
115,quimili,-27.6333,-62.4167,303.07,42,38,0.2,AR,1699417627
116,canto do buriti,-8.11,-42.9444,297.59,64,96,1.86,BR,1699417627
117,aban,56.67,96.06,264.22,85,85,1.28,RU,1699417627
118,az zuwaytinah,30.9522,20.1202,293.82,71,0,4.63,LY,1699417628
119,saint john,45.2727,-66.0677,282.72,87,100,7.2,CA,1699417578
120,sorong,-0.8833,131.25,301.75,78,73,3.1,ID,1699417629
121,velez rubio,37.6484,-2.0769,277.42,79,92,1.96,ES,1699417629
122,iqaluit,63.7506,-68.5145,264.0,79,100,3.6,CA,1699417630
123,constantia,44.1833,28.65,287.53,84,11,6.64,RO,1699417630
124,abatskoye,56.2875,70.4555,274.78,60,86,3.01,RU,1699417631
125,ribadesella,43.4614,-5.0596,285.34,66,98,3.46,ES,1699417631
126,flying fish cove,-10.4217,105.6791,300.97,78,100,2.57,CX,1699417632
127,ribeira grande,38.5167,-28.7,293.58,96,100,7.6,PT,1699417632
128,whitefish,48.4111,-114.3376,279.32,81,75,1.54,US,1699417632
129,dabakala,8.3667,-4.4333,296.37,88,85,1.66,CI,1699417633
130,faya-largeau,17.9257,19.1043,295.7,19,0,7.41,TD,1699417634
131,luanda,-8.8368,13.2343,299.15,83,75,1.54,AO,1699417469
132,claveria,18.6074,121.0832,302.36,74,47,7.01,PH,1699417635
133,smithers,54.7804,-127.1743,274.33,93,75,1.03,CA,1699417635
134,ust-nera,64.5667,143.2,249.38,99,99,1.27,RU,1699417636
135,los altos,37.3852,-122.1141,287.47,79,0,3.6,US,1699417502
136,mount pearl,47.5166,-52.7813,278.89,88,100,9.26,CA,1699417636
137,novodvinsk,64.4165,40.8122,273.59,99,100,4.0,RU,1699417637
138,zouerate,22.7187,-12.4521,287.42,66,0,5.64,MR,1699417637
139,chonchi,-42.6128,-73.8092,281.71,98,97,1.22,CL,1699417638
140,atafu village,-8.5421,-172.5159,302.32,72,84,5.11,TK,1699417638
141,vila velha,-20.3297,-40.2925,292.12,88,75,1.03,BR,1699417639
142,nadym,65.5333,72.5167,273.05,98,100,3.45,RU,1699417465
143,machico,32.7,-16.7667,291.5,72,20,3.09,PT,1699417640
144,egilsstadir,65.2653,-14.3948,274.1,86,75,3.6,IS,1699417640
145,barreiras,-12.1528,-44.99,294.39,93,47,0.84,BR,1699417641
146,kapuskasing,49.4169,-82.4331,264.2,92,75,1.54,CA,1699417641
147,mahina,-17.5065,-149.489,300.02,74,75,2.06,PF,1699417642
